Title,Content,Date,keywords
Get rich quick,"As long as there have been people who want to get rich, there have been get rich quick schemes. The guys who sell mailing lists have a name for people who buy these schemes: ""opportunity seekers.""
Raising ostriches, or timing the market or investing in tulips–there's a long history here. The schemes tend to have a few things in common. They tend to have the same tone of voice (part breathless, part bad design, part 'we're just like you') and most of all, they are too good to be true.
Being too good to be true is the key part, because if it's too good to be true, maybe, just maybe, itistrue. Maybe all those stuck in the mud types aren't doing it because they're skeptics, maybe I get a chance to invest in this video program/perpetual motion machine/envelope stuffing scheme precisely because it has scared away the conservative folks who never get anywhere.
Online, of course, like most things online, this has blossomed. You'll see the long long web pages filled with ALL CAPS and bright colors and testimonials and ""wait there's more!"" They look alike for a reason–it's a signal to the opportunity seeker that this is one of those.
Do they convert watchers into buyers? Sure they do. Do a few people make money? Of course.
There's a tribe here, and it's always looking for a new leader. Someone who will sell them an exclusive $1249 course, or ongoing advice and consulting or some other insight that has escaped the market leaders. The more skeptics they generate, the better they do, because the skepticism itself is part of the story that needs to be told.
What's being sold here? It's not riches, because if the riches were automatic, the seller would just hire people, right? Why make 1,000 people into millionaires if you can just hire 1,000 people and be a billionaire? No, it's the belief in riches, the thrill of finding just the right deal, the challenge of getting a relative to loan you money one more time. It's the frisson of excitement from sending in the money, the rush of impatience that follows as you wait for the package, and then the scary moment when you open the package and come face to face with your dreams.
Of course, your dreams are rarely what you hoped (how could they be?) but soon, you'll be back for more. It seems that being an opportunity seeker is about seeking, not finding.","February 22, 2009","get rich quick, opportunity seekers, schemes"
Like a dream come true,"That's the way Derek Sivers (founder of CDBaby) described his mission statement in building the company. ""What could I build that would be a like a dream come true for independent musicians?""
What an extraordinarily universal way to construct a product, a service or a business. Notice that dreams are rarely ""within reason"" or ""under the circumstances."" No, dreams are dreams. If your business is a dream come true for customers, you win. Game over.
Too often, I hear about businesses that just might be a dream come true for their owners, but hardly for the people they seek to recruit or the customers they hope to snare. What do your prospects dream of? What would get them to wait in line?","February 21, 2009","dreams, business, customers"
Do you deserve it?,"Do you deserve the luck you've been handed? The place you were born, the education you were given, the job you've got? Do you deserve your tribe, your customer base, your brand?
Not at all. “Deserve” is such a loaded word. Most of usdon’t deserve the great opportunities we have, or the lucky breaks that got us here.
Thequestion shouldn’t be, “do you deserve it.” I think it should be, “whatare you going to do with it now that you've got it?""","February 20, 2009","Deserve, Opportunities, Gratitude"
Change,"In down economies,the only thing that’s going to change things is changing things. Thisis hard for a lot of marketers who are used to defending the statusquo, but it’s truly the best option.
If you're not happy with what you've got, what radical changes are you willing to make to change what you're getting?
In my experience, not much. But that doesn't mean you can't start now.","February 19, 2009","Change, Marketers, Status Quo"
Great job for the right marketer,"Sasha atAcumen is hiring. (It's in NY, it's fundraising, it's social marketing and it's for an important cause working with stellar people.)
Someone should start a job board that only lists jobs as good as this one.","February 18, 2009","job opportunity, social marketing, fundraising"
"Sorry, you can’t be our customer","There are interactions marketers have with prospects where the prospect wants something and the marketer or organization just isn't interested in delivering it. These interactions almost always end badly.
I visited a Blockbuster store in London, hoping to rent an appropriately Royal-family focused DVD. After a bit of search, I found it. Would they sell it to me? No, it's rental only. Oh, can I rent it? (I asked with my full US accent). Sure, fill out this form.
Five minutes later, they said, ""Oh, you're from the US. You can't rent here."" What about if I pay as much money as it would cost if the DVD got lost? Nope. What if my hotel vouches for me? No.
Here's the thing: From the rational consumer's point of view, this is silly. They should take my money and we'll both be happy. From Blockbuster management's point of view, though, allowing clerks to start making up exceptions and prices is just too much trouble. And it probably is.
You can't (and shouldn't) please every single person who may or may not become a customer. But you should (and you must) figure out what to tell the folks you're going to turn away. Endless negotiations are like teaching a cat to swim… the cat never learns and you get frustrated.
""I'm sorry, I appreciate your interest, but you can't be our customer. We can't please everyone and we're focused on customers with different needs just now. Can I suggest you try the place down the street? I'll draw you a map.""
The power of this outcome is that you have the freedom to figure out exactly what someone has to do in order to be a customer. You can qualify people by asking the right questions. You can take no for an answer.
If it turns out that you're getting too many 'no' responses, too many people walking out empty handed, it's probably time to reconsider what you need from someone in order for them to do business with you.",,"customer qualification, rejection handling, marketing interactions"
The rational marketer (and the irrational customer),"The most common frustration I see, and I see it daily, comes from marketers who can't figure out why more people won't buy their product. This particularly afflicts b2b marketers, who ostensibly have rational customers.
Let's say, for example, that you have a service that can deliver leads for five percent of what it costs to get them via a trade show. Why would any rational business, particularly one that says it wants qualified leads, spend that money on trade shows and not on you?
I mean, I mean, you can PROVE that your system works. You can guarantee it. You can provide testimonials and real-time evidence. And yet, the person you're calling on won't give you money and will spend it on the traditional system, which is a total waste.
Youknowthat your car is more aerodynamic. Youknowthat your insulation is more effective. Youknowthat your insurance has a higher ROI.
You've thought about it a lot because it's your job to think about it. It's your job to make those charts and tables and graphs and brochures. So you know it.
The problem is that your prospect doesn't care about any of those things. He cares about his boss or the story you're telling or the risk or the hassle of making a change. He cares about who you know and what other people will think when he tells them what he's done after he buys from you.
The opportunity, then, is not to insist that your customers get more rational, but instead to embrace just how irrational they are. Give them what they need. Help them satisfy their needs at the same time they get the measurable, rational results your product can give them in the long run.","February 17, 2009","Rationality, Marketing, Customer Behavior"
Authenticity,"If it acts like a duck (all the time), it's a duck. Doesn't matter if the duck thinks it's a dog, it's still a duck as far as the rest of us are concerned.
Authenticity, for me, is doing what you promise, not ""being who you are"".
That's because 'being' is too amorphous and we are notoriously bad atjudging that. Internal vision is always blurry. Doing, on the other hand, is an act that can be seen byall.
As the Internet and a connected culture places a higher premium on authenticity (because if you're inconsistent, you're going to get caught) it's easy to confuse authentic behavior with an existential crisis. Are you really good enough, kind enough, generous enough and brave enough to be authentically a hero or leader?
Mother Theresa was filled withself doubt. But she was an authentic saint, because she always acted like one.
You could spend your time wondering if what you say you are is really you. Or you could just act like that all the time. That's good enough, thanks. Save the angst for later.","February 16, 2009","Authenticity, Action, Consistency"
Five tips for better online surveys,"Bottom line: before you let the survey guys run a survey of your loyal customer base, make them pay you with resources you can use to reinvigorate those users you just bothered.","February 15, 2009","online surveys, customer engagement, survey tips"
Citizen Reviewer,"It's quite possible that the era of the professional reviewer is over. No longer can a single individual (except maybe Oprah) make a movie, a restaurant or a book into a hit or a dud.
Not only can an influential blogger sell thousands of books, she can spread an idea that reaches others, influencing not just the reader, but the people who read that person's blog or tweets. And so it spreads.
I'd like you to help me spread the good word about my friend Jacqueline's important (essential) new book,The Blue Sweater.I'll be reviewing it here in two weeks, but there's a great opportunity now if you have an influential platform and are inclined to pitch in.
Visitthis formand describe your platform if you'd like a copy. I'm buying books for a few bloggers interested in doing a review of the book and then giving it away to one of their readers or friends. (I'm not picking the winners, so don't blame me). Apologies in advance that only a few people will get a free one (they will email the lucky recipients, so if you don't hear, you know you need tobuy your own copy).
PS as a public service, a reminder that today is the king of all Hallmark holidays. Pretend you didn't forget.","February 14, 2009","Citizen Reviewer, Influential Blogger, The Blue Sweater"
Music vs. the music industry,"Some excerpts from aninterviewon the future of the music industry. I was being specific about one industry, but I think it applies to just about everything:
The music industry is really focused on the‘industry’ part and not so much on the ‘music’ part. This is thegreatest moment in the history of music if your dream is to distributeas much music as possible to as many people as possible, or if yourgoal is to make it as easy as possible to become heard as a musician.There’s never been a time like this before. So if your focus is onmusic, it’s great. If your focus is on the industry part and the limos,the advances, the lawyers, polycarbonate and vinyl, it’s horrible. Theshift that is happening right now is that the people who insist onkeeping the world as it was are going to get more and more frustrateduntil they lose their jobs. People who want to invent a whole new setof rules, a new paradigm, can’t believe their good fortune and howlucky they are that the people in the industry aren’t noticing anopportunity…
I define a tribe as a group of people sharing a common culture, agoal, a mission, probably a leader. There are tribes of people – likethe ones who go to South by Southwest – who are connected because theywant to remake the music industry. There is the tribe of people whofollow Bruce Springsteen and will pay unreasonable amounts of money tohear him live and compare playlists. The important distinction here isthat music labels used to be in the business of grabbing shelf space,on the radio and in the record store. Now, the music industry needs torealign and be in the business of finding and connecting and leadinggroups of people who want to follow a musician and connect with theother people who want to do the same…
In the ‘70s or ‘80s you listened to a song because “everyone else” wasalso listening to it. That’s the definition of pop music. In those dayswe defined “everyone else” as people in our high school or people wholistened to WPLJ. Now, “everyoneelse” is not defined by where you live or what radio station you listento. It’s defined by which horizontal or vertical slice of the world youconnect yourself with. I might listen toKeller Williamsbecause everyone else in my world includes frustrated Deadheads. Wedon’t have new Grateful Dead to listen to, so everyone else in mycircle is listening to Keller Williams, so he is pop to us. He’s notpop to the kids at the middle school who have never heard of him,right? So you end up with all these silos and niches and lots and lotsof ways to look at the world…
Digital is about to surpass the CD, and onceit starts to happen it’s going to happen faster and faster and faster.The more interesting thing to me is who is going to control theplaylist. If there is an infinite amount of music available – and Iwould argue that as soon as the amount of music available exceeds theamount of time you have in your life, that’s infinite – somebody willhave the leverageable spot of deciding what to listen to next. And it’sunclear whether someone will charge to tell me that or will pay to tellme that. It’s still up for grabs in every one of these vertical silos.Who are the tastemakers and how do these ideas spread? The analogy Ilike to give is if you’re an author and Oprah Winfrey calls, you don’tsay, “How much are you going to pay me to go on your show and give awayall the ideas in my book?” In fact, if you could you would pay to be onOprah. For a really long time the music industry has had two minds: Onthe one hand, they would pay money to be on Clear Channel or MTV; onthe other hand, they would charge you money to hear their music inconcert or out of your stereo. Those days are all getting interminglednow. “I am the program director of my radio station, so where’s mypayola?”
R&G:When a band brands itself, there is a credibility issue with their fan base; they run the risk of being perceived as a sellout.
Seth:I think the first thing I’d ask is, “perceived as a sellout by whom?” Some people sayPatricia Barberis a sellout because she’s a popular jazz musician as opposed to astarving jazz musician. But the people in the crowd don’t think that. Ithink selling out is largely about expectation, about being transparentand telling the truth to your audience. When Talking Heads wentfrom being unsuccessful at CBGB to being really successful on MTV andmaking a movie with Jonathan Demme, some people said they sold out.Other people said they wished they were more pop-like. I’m not surethat’s something that needs to be at the beginning of the conversation.I think that what you have to do is make it clear to your tribe and toyourself what you stand for, and do that.","February 13, 2009","Music industry, digital distribution, tastemakers"
Calling your bluff,"Billionaire raconteur Mark Cuban justposteda fascinating challenge. Post a business plan that meets certain criteria and he'll consider funding it, right here, right now.
Here's what's neat:1. As soon as you see enough plans, you realize that in fact there are tons of ways to create a viable business in just a few months. There's no shortage of ideas worth stealing.
2. Mark asks that you describe how much money you need and how much equity you'll give up for it. My guess is that for most of these businesses, that causes the entrepreneur to whittle down the money that's actually necessary (hey, that money is expensive!) until the point that they don't need Mark's money at all. They can just start.
The comments on his thread are typical of what happens when you call someone's bluff. There are plenty of skeptics, critics, trolls and naysayers. What a shame. Shun the non-believers.
PS! If you think you don't have a good enough idea, nine superpowered friends of mine came up witha list that might just help.","February 12, 2009","Mark Cuban, business plan, entrepreneurship"
The power of an algorithm,"An algorithm is a set of instructions that allows you to solve a problem.
Each instruction is simple and repeatable. It's important to understand that the instructions work on all similar problems, not just one.
Here's an algorithm for sorting any set of numbers, to get them into order. Start with 4,3,5,6,2 for example.
Thebubble sortalgorithm is simple. Compare two numbers. If the first number is higher than the second, switch them. So now it's 3,4,5,6,2. Next step is to compare positions two and three. If the second is higher than the third (it's not) switch them. Repeat for the whole string. Then start over. Do it over and over again until you can go the whole way with no switching. Done.
Same trick works for alphabetizing words or sorting kids in order by height.
Of course, there are algorithms that are far more complex, far more intuitive or far more useful.
Algorithms don't care a bit if you believe in them or not. They either work or they don't.
Algorithms in business appear to be magical, because they allow you to be smart about problems you haven't seen before. The 'angry customer' algorithm or the 'promote a book' algorithm don't always work, but they are approaches that work on a huge range of problems.
All of which is a long way to wish Charles Darwin a happy birthday. The simple algorithm he described is often misunderstood but is robust and flexible and powerful, and it works for ideas and businesses as well as fruit flies and turtles.
Ideas that spread, win. Sometimes ideas get changed in transmission, and sometimes those changed ideas spread even farther and with more impact than the ideas that came before them.
In business, if you lock down ideas, make them difficult to change and spread and have impact, you fail. If you accept the fact that change is real, that there is competition for your ideas and that amplifying the good stuff works, you can grow and thrive.
Seeing the algorithm in action (which the Net makes easy) helps you understand the notion of failing fast, of exposing ideas to the real world with a posture of perpetual beta. The clothing store Zara doesn't have clothes for a particular season, they launch clothes for a particular fortnight. They watch and measure and adjust and then repeat.
Your organization (and your career) eitherembraceschange and turmoil and sudden shifts in the rules or youfearit. In times of rapid change (that would be now), embracing the algorithm of the evolution of ideas and systems is a significant competitive advantage.",,"algorithm, change, ideas"
Make the world smaller,"The secret to being the best in the world is to make the 'world' smaller.
Alan Scottwas the best community-focused artisan pizza oven builder in the world. A niche that didn't exist before he got there, but one that spread, that engaged people, that created a tribe and that supported him.
Alan was passionate about his craft and wasn't shy about sharing it. He trained others, turned it into a movement.
It's entirely possible that you will choose a niche that's too small. It's much more likely you'll shoot for something too big and become overwhelmed. When in doubt, overwhelm a small niche.","February 11, 2009","niche, community, artisan"
Which parts are you skipping?,"The top of a mountain is rarely the best part.
You can watch ""the good parts"" of a baseball game in about six minutes. The web has become a giant highlights reel… the best parts ofSNL, the best parts of a speech, the best parts of a book.
We can skim really fast now. This is a problem for marketers, because it means that if they don't make the good parts easily findable and accessible (and bold and loud and memorable) then the whole product becomes invisible.
As consumers of information, though, I wonder if the best parts are really the best parts. Yes, you can read a summary of a book instead of a book, or watch the trailer instead of the movie, or read the executive summary of the consultant's report instead of the whole thing… but the parts you miss are there for a reason.
Real change is rarely caused by the good parts. Real change and impact and joy come from the foundation and the transitions and the little messages that sneak in when you least expect them. The highlights of the baseball game are highlights largely because the rest of the game got you ready for them.
Don't skip that page, it's there for a reason.","February 10, 2009","highlights, importance, engagement"
Sprint!,"The best way to overcome your fear of creativity, brainstorming, intelligent risk taking or navigating a tricky situation might be to sprint.
When we sprint, all the internal dialogue falls away and we just go as fast as we possibly can. When you're sprinting you don't feel that sore knee and you don't worry that the ground isn't perfectly level. You just run.
You can't sprint forever. That's what makes it sprinting. The brevity of the event is a key part of why it works.
""Quick, you have thirty minutes to come up with ten business ideas.""
""Hurry, we need to write a new script for our commercial… we have fifteen minutes.""
My first huge project was launching a major brand of science-fiction computer adventure games (Ray Bradbury, Michael Crichton, etc.). I stopped going to business school classes in order to do the launch.
One day, right after a red eye flight, the president of the company told me that the company had canceled the project. They didn't have enough resources to launch all the products we had, our progress was too slow and the packaging wasn't ready yet.
I went to my office spent the next 20 hours rewriting every word of text, redesigning every package, rebuilding every schedule and inventing a new promotional strategy. It was probably 6 weeks of work for a motivated committee, and I did it in one swoop. Like lifting a car off an infant, it was impossible, and I have no recollection at all of the project now.
The board reconsidered and the project was back on again. I didn't get scared untilafterthe sprint. You can't sprint every day but it's probably a good idea to sprint regularly.","February 9, 2009","Creativity, Sprinting, Brainstorming"
Learning all the time,"My post onpossible uses of educationstruck a chord with people. Different people are looking for different outcomes.
The first implication of this list: why did you stop educating yourself when you graduated?
Not you, of course. You read blogs and by that action demonstrate that you're looking for something new, or useful, or important.
I'm fascinated by the way the marketplace treats non-fiction books, particularly business books. The most popular business book of all time was purchased by less than 3% of all the people who could benefit from it, and read by a tiny fraction of that group. I'm guessing that less than 10% of the people who read this blog have read one of my books.
Books remind us of school, of chores, of homework. Give someone a DVD of a hit movie currently in the theaters and they'll eagerly thank you and watch it that weekend. Give them a book and it's a whole commotion. ""I read that book!"" they brag to you next week, when maybe they didn't really.
Which leads toThe 100 Best Business Books of All Time, which is a shortcut in the best sense of the word. Not some sort of prurient blog list designed to draw traffic, the book actually makes you sound smart because the authors tell you what each book says… so you can get back to your DVD.
The #1 habit successful people share with me is this: They read books to learn. They do it often and with joy. It's cheap (or free, at the library or online) and portable and specific. Jack and Todd's book might be a good place to start the habit.","February 8, 2009","Education, Reading, Business Books"
The customer is always wrong,"Richard was telling me that he doesn't care what his customers think.
Instead, he writes and creates for himself. If his customers like it, fine. If not, fine.
This is the gutsy statement of an artist. I pointed out to him that he's had a long line of successful books, conferences and consulting gigs. ""I don't care what they think,"" he said with a bit of contempt.
Fortunately for Richard, there's a high correlation between what he likes and what the market likes. The power of his conviction, though, is that instead of being joyful when he runs into a customer who thinks the way he does (and annoyed at those that don't), he's comfortable enough with his sense of art and craft and quality that it's enough. He does it for himself. He actively ignores the market.
If you're strong enough to do that, more power to you. If you do your art and the market rejects you, though, you need to make a choice. If your art has no market, it's still art. It just might not be a living.","February 7, 2009","artist, conviction, market"
Bonus links from all over,"Wiredinterviewabout Tribes
Videointerviewabout thriving in a down market
Bryan starts a web podiatrist testing/improvementservice
Andy Nulman has a surprising newbookout (about surprise and expectation and marketing)
And here’s avideo interviewI did with Loic two days ago at TED.","February 6, 2009","Interviews, Marketing, Tribes"
The difference between a show and a story,"The Super Bowl hype is blissfully long gone, and lazy media outlets can no longer reprint press releases and dissect multi-million dollar wastes of time and money.
The lesson of these ads is simple. Putting on a show is expensive, time-consuming and quite fun. And it rarely works.
The Gatorade commercial, or the guy clipping his toenails or someone throwing a rock through a vending machine… it's all show biz, it's not marketing.
Marketing is telling a story that sticks, that spreads and that changes the way people act. The story you tell is far more important than the way you tell it. Don't worry so much about being cool, and worry a lot more about resonating your story with my worldview. If you don't have a story, then a great show isn't going to help much.
(And yes, every successful organization has a story, even if they've never considered running an ad, during the Super Bowl or anywhere else.)",,"show, story, marketing"
Solving a different problem,"The telephone destroyed the telegraph.
Here's why people liked the telegraph: It was universal, inexpensive, asynchronous and it left a paper trail.
The telephone offered not one of these four attributes. It was far from universal, and if someone didn't have a phone, you couldn't call them. It was expensive, even before someone called you. It was synchronous–if you weren't home, no call got made. And of course, there was no paper trail.
If the telephone guys had set out to make something that did what the telegraph does, but better, they probably would have failed. Instead, they solved a different problem, in such an overwhelmingly useful way that they eliminated the feature set of the competition.
The list of examples is long (YouTube vs. television, web vs. newspapers, Nike vs. sneakers). Your turn.","February 5, 2009","telephone, telegraph, innovation"
"Which comes first, the product or the marketing?","Well, if you define marketing as advertising, then it's clear you need the product first (Captain Crunch being the only exception I can think of… they made the ads first.) This greatclipfrom Mad Men brings the point home. If the Kodak guys hadn't invented the Carousel slide projector, Don Draper could never have pitched this ad.
But wait.Marketing is not the same as advertising.Advertising is a tiny slice of what marketing is today, and in fact, it's pretty clear that the marketing has to come before the product, not after. As Jon points out, the Prius was developed after the marketing thinking was done. Jones Soda, too. In fact, just about every successful product or service is the result of smart marketing thinking first, followed by a great product that makes the marketing story come true.
If someone comes to you with a 'great' product that just needs some marketing, the game is probably already over.","February 4, 2009","Marketing, Product Development, Advertising"
Grave new world,"Creativity loves a problem, but it hates a lousy audience.
If everyone around you is sure the economy is tanking, that the end is near, that time is up and the company is headed for the tubes, it's almost impossible to find a creative solution.
Creativity changes the game, whatever game is being played. ""We're going to run out of cash by the end of the year,"" is accurate unless you count creativity into the equation. Then the accurate statement is, ""Under the current rules and assumptions, we're going to run out of cash…"" Big difference.
Creativity demands exposure to market needs, and insulation from market fears. Give it some time to work, some support, some breathing room. That's when creativity has a chance to change the game.","February 3, 2009","creativity, problem-solving, market fears"
"I’m sorry, we’re out of time","What do you do when the deadline looms?
I often hear blowhards on the radio, wrecking the entire interview because they don't know how to call it quits when the host tells them they have thirty seconds to wrap up. They try to say one more thing, one more thing, one more thing and they get hung up on and the message is lost.
I often hear presenters who always manage to need just two more minutes than the time allows. So, instead of exiting gracefully when there's ten seconds left on the clock, they either steal time from the next person or try to rush through six slides and their conclusion.
What a waste.
Do you save the most important part of the meeting for the end, when everyone is already standing?
Plan for the end.
Expect that the amount of time you've got is going to be the amount of time you've got. And then use a little less.
No one ever leaves a speech or a eulogy or a presentation saying, ""I wish it was longer.""
If the Groundhog understood this, winter would be a lot shorter.","February 2, 2009","deadline, time management, presentations"
"Email campaign case studies (one good, one bad)","In one week, I heard from two companies in the same industry. The comparison is instructive, I think.
Every month, I get a great email from Paul McGowan, founder of PS Audio. Hisnewsletteris anticipated, personal and relevant. I signed up for it and I look forward to it.
Paul mentions his products, their reviews and their new technology. He also tells stories and acts like a real person. Because I signed up for the newsletter, I open it. Because he never abuses my trust, I trust him. If I hit reply, he writes back.
When it's time to buy the sort of thing he sells, I won't look around much, because I'm already sold.
I also got two identical emails (with different subject lines) from a speaker company called Thiel Audio. I never signed up to hear from this company, and judging from the email addresses they used, they harvested my address either from an attendee list at a conference at which I spoke or from an old business card.
The problem with believing that just because you have access to an address you have the right to mail is that there is no friction with email. It's free. You can email a million people in a heartbeat, costing the recipients time (and thus money) and you not much of either. The recipient knows this, and feels exploited or cheated. It's not fair, and so the lack of friction backfires. The very ease of interruption makes the interruption more annoying.
I get a lot of spam from non-reputable companies, but it was surprising to get this html ad via email from a company that used to have a good reputation.
My email box is where I live all day. They showed up, uninvited, and worked to sell me something even though they had no connection with me as a consumer or a blogger. That's not brand building, it's the opposite. Even worse, it's undependable.
With PS Audio, Paul realizes that over time, the more months I get the newsletter, the greater the chance I'm going to trust and like and buy from him. For Thiel, the opposite is true. The more they send, the more people will get in the habit of deleting or unsubscribing. It's not an asset, it's a risk. It doesn't scale, it shrinks.
No doubt, there are old-school marketers who will talk about their right to email or interrupt because it's not against the law, or perhaps it generates short-term sales. The thing is, consumers now have rights too. The right to ignore, to distrust and to choose someone else when it comes time to spend money.
There are a hundred ways to skulk around, to collect email addresses, to write clever privacy policies or to argue about whether opt-out (""you can always unsubscribe!"") is a valid way to build a brand. None of those schemes work. What works is exactly one way: making promises and then keeping them. Every person who unsubscribes or deletes or just stops reading your mail is a person lost, a negative word-of-mouth opportunity waiting to happen.
Run an ad in traditional media or online and promise me a great newsletter, or a prize or news or even a discount if I sign up. That's clear and honest and it works.
A spam campaign feels like a smart idea, but over time, the more you use it, the less your brand is worth.A permission campaign, on the other hand, only grows in value, until it gets big enough that you can build an entire business around it.
Earning permission is a long-term, profitable, scalable strategy that pays for itself. Think about how much better off a brand would be if it took the time to make promises, keep them and be transparent about its communications.","February 1, 2009","Email marketing, permission-based strategy, brand trust"
Why aren’t you (really) good at graphic design?,"Ten years ago, you had a wide range of excuses for being a lousy visuals person. Starting with no talent, leading to no skill and going from there.
But now, in a world where it is expected that professionals will be able to make beautiful powerpoint slides, handsome business cards, clever bio photos and a decent website, it's as important as driving. And easier to learn and do, and requiring less talent.
No, you and I will never be gifted designers or breakthrough designers. But there's really no reason not to be really good.
I put together apage with some blogs, books and sitesyou can check out. An hour a day for a month and you won't have to hide your face in shame. Sure, hire the very best in the world when you need a breakthrough. But you don't have to pay for better-than-mediocre design. You can do it yourself.
(Update: as expected, I heard from a few designers, upset that I would recommend that anyone do pretty good design. The thing is, as a designer, if all you can offer is a time-saving way to get pretty good design, that's a tough row to hoe. The magic for thegreatdesigner is that once someone understands how to see, understands how powerful great design can be… they are going to be the first person who wants to hire you.
The fact is, business people do copywriting, simple legal and accounting work and more, on their own, every day. You compose your own email, don't you? If your legal decisions were as bad as your design, you'd get fired in a minute for libeling people. Getting pretty good at things is merely a first step, but one that you need to take in order to be ready to spend the money to get great.)","March 31, 2009","graphic design, self-improvement, design skills"
"Share of wallet, share of wall, share of voice","The first mistake marketers make is that they want more. More customers, more noise, more ads, more shelf space, more customers, more customers, more customers…
Almost all of their actions are driven by the search for more customers.
The reason this is a mistake is simple: it's expensive. Attracting a new customer costs far more than keeping an old one happy. Not only that, but an old customer is far more likely to bring you new people via word of mouth than someone who isn't even a customer yet.
Which is why share of wallet makes so much more sense than share of market. How much does each of your existing customers buy from you? Do they count on you for all the things they buy in this market, or just some? Does Toyota sell me every car my family drives? Does Chubb get to insure every single thing I own? Usually not. Because marketers are so focused on more that they forget to take great care of what they've got.
Hugh Macleod,gifted cartoonist and profane marketing blogger is now making his living selling limited edition art work based on his cartoons. He's a brilliant marketer, of course, so he's not focused on more. He's focused on share of wallet. On selling his dedicated fans a remarkable souvenir that they can keep and display.
So, what's the problem? Share of wall. Unlike records or shoes, it's hard to buy a lot of art. Pretty soon, you've got no place left to put it, do you? Share of wallet turns into share of wall and you can't grow any more.
That's why you need to be realistic about how much share of wallet you can honestly expect, and why job one is delighting existing customers so much that they can't help but tell their friends. Preferably friends with very big houses.","March 30, 2009","share of wallet, customer retention, marketing strategy"
Ignore your critics,"If you find 100 comments on a blog post or 100 reviews of a new book or 100 tweets about you…
and two of them are negative, while 98 are positive…
which ones are you going to read first?
If you're a human being and you're telling the truth, the answer is pretty obvious: you want to know which misguided losers had nasty things to say and you want to know what they said. In fact, if we're being totally truthful, it's likely you're going to take what the critics had to say to heart.
That's a shame. The critics are never going to be happy with you, that's why they're critics. You might bore them by doing what they say… but that won't turn them into fans, it will merely encourage them to go criticize someone else.
It doesn't matter what Groucho or Elvis or Britney or any other one-name performer does or did… the critics won't be placated. Changing your act to make them happy is a fool's game.
Here's a surprising thought, though. You should ignore your fans as well.
Your fans don't want you to change, your fans want you to maintain the essence of what you bring them but add a laundry list of features. You fans want lower prices and more contributions, bigger portions and more frequent deliveries.
So, who should you listen to?
Your sneezers.
You should listen to the people who tell the most people about you. Listen to the people who thrive on sharing your good works with others. If you delight these people, you grow.","March 29, 2009","Critics, Fans, Sneezers"
Where’s the baxter?,"If you make something remarkable, that's because there's something to talk about.
But often, if you've created something worth talking about, it's something that hasn't been done before. Which means it needs a name.
So name it.
That extra sharp point on the top of your new rock climbing shoe? It's a baxter.
That service you get at the spa after your massage is over? Oh, you mean the baxter!
That free course in between the main course and dessert? Right… the baxter.
Sorry, ""baxter"" is already taken. It's my name for that new thing you invented that's worth talking about. You'll need to find a new word that people can use to describe your baxter.
(Heels on Wheelsis a baxter. So is the3/50project.)","March 28, 2009","baxter, naming, innovation"
The high road and the low road,"Why spend $10,000 to do a photo shoot for a magazine? After all, all your profit is in the ads.
Sometimes it seems like people who build websites and magazines that take the high road aren't paying any attention at all to conversion and revenue and manipulation.
The low road of media ought to work. After all, it's filled with tricks that have been tested and shown to work. On a website, a pop up, a popunder, a cloaked IP address, a persistent window that won't go away, loud headlines and calls to action… all of these things should convert.
We saw the same thing with magazines over the last few decades. You can fill a magazine with come ons, get rich quick claims and guaranteed results… and yet Conde Nast (home of The New Yorker) and other high road publications made more money and had happier advertisers…
The reason manipulative media doesn't work as well as you might expect is that people have a choice. Sure, on a per thousand basis, the manipulative tricks you might decide to use seem to work,but people don't have to show up in the first place.Generally, the people who do show up for these low road attempts at manipulation aren't the right people to begin with.
I see this every day at Squidoo, blogs and other user generated pages. People who build pages that are generous, filled with useful information and generally focused on teaching people do extremely well. They get a lot of traffic, a ton of clickthroughs and earn money every day. And yet, countless businesses in search of a quick buck show up with obviously selfish scams involving Forex and affiliate-Bank and 'exclusive' offers. And they fail, again and again. They fail because people who have a choice don't participate.
Data is your friend. And the data shows that the top blogs, top lenses, top magazines… they all follow the high road. If you need to be manipulative or non-transparent to make a buck, time to rethink the plan.","March 27, 2009","High road, Manipulative media, User-generated content"
Getting serious about your meeting problem,"Do you have one? Some folks are going to eight hours of meeting a day. At Ford, they used to have meetings to prepare for meetings, just to be sure everyone had their story straight.
If you're serious about solving your meeting problem, getting things done and saving time, try this for one week. If it doesn't work, I'll be happy to give you a full refund.
This is all marketing. It's a show, one that lets your team know you're treating meetings differently now.","March 26, 2009","meetings, productivity, time management"
